Channel,Platform,Hours Watched,Peak Viewers,Average Viewers,Airtime Hours
ibai,twitch,47132453.833333336,9189762,4503100.68,10.466666666666669
加藤純一うん〇ちゃん,twitch,10928659.083333334,123964,41826.85,261.28333333333336
Caedrel,twitch,8563937.45,152742,37498.08,228.38333333333333
Papaplatte,twitch,8323174.483333333,118231,42321.23,196.66666666666663
Jynxzi,twitch,7760071.383333334,81983,37749.66,205.56666666666663
RTAinJapan,twitch,6124597.366666666,68450,39684.22,154.33333333333334
caseoh_,twitch,5501238.616666666,80992,54875.2,100.25
zackrawrr,twitch,5365313.466666667,87317,41704.73,128.65
stableronaldo,twitch,5342813.783333333,69658,26068.86,204.95
HasanAbi,twitch,5164535.8,45108,28389.57,181.91666666666663
Trymacs,twitch,5095050.233333333,155337,15392.13,331.01666666666665
jasontheween,twitch,5000367.983333333,70522,34331.4,145.65
Lacy,twitch,4549599.666666667,76973,23301.41,195.25
shroud,twitch,4434440.516666667,96765,21547.33,205.8
Agent00,twitch,4335605.066666666,46247,19705.8,220.01666666666668
ESLCS,twitch,4224608.866666666,131445,7329.72,576.3666666666667
xQc,twitch,4159572.0833333335,67034,24588.6,169.16666666666666
ExtraEmily,twitch,4013113.233333333,53987,17460.97,229.83333333333331
fps_shaka,twitch,3857015.483333333,40494,14849.91,259.7333333333333
eliasn97,twitch,3764357.783333333,147857,30788.1,122.26666666666668
TimTheTatman,twitch,3734980.216666667,206202,34482.05,108.31666666666666
BLASTPremier,twitch,3702316.7666666666,113845,38266.84,96.75
summit1g,twitch,3566814.2,29935,10279.99,346.96666666666664
ohnePixel,twitch,3441885.25,105247,40788.69,84.38333333333334
StRoGo,twitch,3427703.8833333333,33781,15290.87,224.16666666666663
plaqueboymax,twitch,3424210.183333333,196138,47857.58,71.55
k4sen,twitch,2905877.533333333,63640,14636.72,198.53333333333333
Kamet0,twitch,2873875.333333333,77864,14965.5,192.03333333333333
Gaules,twitch,2843524.2333333334,57842,3956.39,718.7166666666667
yourragegaming,twitch,2804779.966666667,53812,24245.32,115.68333333333334
Anyme023,twitch,2682190.45,86967,39579.79,67.76666666666667
otplol_,twitch,2678187.65,34717,3720.74,719.8
LIRIK,twitch,2548002.7,28740,14746.81,172.78333333333333
DDG,twitch,2538794.35,49514,14638.45,173.43333333333334
たいじ_たいちゃんねる,twitch,2498201.933333333,55656,13594.42,183.76666666666668
Recrent,twitch,2489801.2666666666,38733,10513.62,236.81666666666663
betboom_ru,twitch,2466559.3666666667,73562,14950.35,164.98333333333332
JLTomy,twitch,2374371.966666667,22115,10941.81,217.0
Emiru,twitch,2373151.3,59688,23461.7,101.15
NoWay4u_Sir,twitch,2268037.9,20862,10171.33,222.9833333333333
anarabdullaev,twitch,2257600.6166666667,43471,19645.55,114.91666666666669
Flamby,twitch,2242384.183333333,17519,3128.4,716.7833333333333
Dmitry_Lixxx,twitch,2232313.6,146785,17040.56,131.0
TheBurntPeanut,twitch,2205245.1666666665,38137,11209.31,196.7333333333333
tarik,twitch,2168122.45,45780,12651.95,171.36666666666667
sasavot,twitch,2109186.816666667,47408,16941.26,124.5
Warframe,twitch,2106206.6666666665,396431,128427.24,16.4
knekro,twitch,2096728.933333333,67935,11424.24,183.53333333333333
バトラ,twitch,2046008.5833333333,43032,9412.71,217.36666666666667
Elajjaz,twitch,2023781.9833333332,15055,9302.61,217.55
MichiMochievee,twitch,1995002.35,14556,5070.32,393.4666666666666
MarvelRivals,twitch,1980223.0166666664,20965,6865.44,288.43333333333334
AussieAntics,twitch,1969641.3333333333,43656,8285.67,237.71666666666667
KaiCenat,twitch,1969566.4833333332,204974,68546.4,28.73333333333333
Bijusan,twitch,1951896.8333333333,29247,7595.91,256.96666666666664
Maximum,twitch,1950185.9166666667,58607,17000.02,114.71666666666668
zarbex,twitch,1945953.5,38881,12636.06,154.0
bySL4M,twitch,1931693.0166666664,64342,22566.51,85.6
HandOfBlood,twitch,1929442.15,52118,12419.97,155.35
Echo_Esports,twitch,1903087.3,45884,6421.76,296.35
